Year,MonthDate,Event,DayCategory
2009,Jan-01,New Year's Day,Federal Holiday
2009,Jan-19,Martin Luther King Jr. Day,Federal Holiday
2009,Feb-14,Valentine's Day,Event
2009,Feb-16,Presidents' Day,Federal Holiday
2009,Apr-12,Easter Sunday,Event
2009,May-10,Mother's Day,Event
2009,May-25,Memorial Day,Federal Holiday
2009,Jun-21,Father's Day,Event
2009,Jul-03,'Independence Day' observed,Federal Holiday
2009,Jul-04,Independence Day,Federal Holiday
2009,Sep-07,Labor Day,Federal Holiday
2009,Oct-12,Columbus Day (Most regions),Federal Holiday
2009,Oct-31,Halloween,Event
2009,Nov-11,Veterans Day,Federal Holiday
2009,Nov-26,Thanksgiving Day,Federal Holiday
2009,Dec-24,Christmas Eve,Event
2009,Dec-25,Christmas Day,Federal Holiday
2009,Dec-31,New Year's Eve,Event
2010,Jan-01,New Year's Day,Federal Holiday
2010,Jan-18,Martin Luther King Jr. Day,Federal Holiday
2010,Feb-14,Valentine's Day,Event
2010,Feb-15,Presidents' Day,Federal Holiday
2010,Apr-04,Easter Sunday,Event
2010,May-09,Mother's Day,Event
2010,May-31,Memorial Day,Federal Holiday
2010,Jun-20,Father's Day,Event
2010,Jul-04,Independence Day,Federal Holiday
2010,Jul-05,'Independence Day' observed,Federal Holiday
2010,Sep-06,Labor Day,Federal Holiday
2010,Oct-11,Columbus Day (Most regions),Federal Holiday
2010,Oct-31,Halloween,Event
2010,Nov-11,Veterans Day,Federal Holiday
2010,Nov-25,Thanksgiving Day,Federal Holiday
2010,Dec-24,'Christmas Day' observed,Federal Holiday
2010,Dec-24,Christmas Eve,Event
2010,Dec-25,Christmas Day,Federal Holiday
2010,Dec-31,'New Year's Day' observed,Federal Holiday
2010,Dec-31,New Year's Eve,Event
2011,Jan-01,New Year's Day,Federal Holiday
2011,Jan-17,Martin Luther King Jr. Day,Federal Holiday
2011,Feb-14,Valentine's Day,Event
2011,Feb-21,Presidents' Day,Federal Holiday
2011,Apr-24,Easter Sunday,Event
2011,May-08,Mother's Day,Event
2011,May-30,Memorial Day,Federal Holiday
2011,Jun-19,Father's Day,Event
2011,Jul-04,Independence Day,Federal Holiday
2011,Sep-05,Labor Day,Federal Holiday
2011,Oct-10,Columbus Day (Most regions),Federal Holiday
2011,Oct-31,Halloween,Event
2011,Nov-11,Veterans Day,Federal Holiday
2011,Nov-24,Thanksgiving Day,Federal Holiday
2011,Dec-24,Christmas Eve,Event
2011,Dec-25,Christmas Day,Federal Holiday
2011,Dec-26,'Christmas Day' observed,Federal Holiday
2011,Dec-31,New Year's Eve,Event
2012,Jan-01,New Year's Day,Federal Holiday
2012,Jan-02,'New Year's Day' observed,Federal Holiday
2012,Jan-16,Martin Luther King Jr. Day,Federal Holiday
2012,Feb-14,Valentine's Day,Event
2012,Feb-20,Presidents' Day,Federal Holiday
2012,Apr-08,Easter Sunday,Event
2012,May-13,Mother's Day,Event
2012,May-28,Memorial Day,Federal Holiday
2012,Jun-17,Father's Day,Event
2012,Jul-04,Independence Day,Federal Holiday
2012,Sep-03,Labor Day,Federal Holiday
2012,Oct-08,Columbus Day (Most regions),Federal Holiday
2012,Oct-31,Halloween,Event
2012,Nov-06,Election Day,Event
2012,Nov-11,Veterans Day,Federal Holiday
2012,Nov-22,Thanksgiving Day,Federal Holiday
2012,Dec-24,Christmas Eve,Event
2012,Dec-25,Christmas Day,Federal Holiday
2012,Dec-31,New Year's Eve,Event
2013,Jan-01,New Year's Day,Federal Holiday
2013,Jan-21,Martin Luther King Jr. Day,Federal Holiday
2013,Feb-14,Valentine's Day,Event
2013,Feb-18,Presidents' Day,Federal Holiday
2013,Mar-31,Easter Sunday,Event
2013,May-12,Mother's Day,Event
2013,May-27,Memorial Day,Federal Holiday
2013,Jun-16,Father's Day,Event
2013,Jul-04,Independence Day,Federal Holiday
2013,Sep-02,Labor Day,Federal Holiday
2013,Oct-14,Columbus Day (Most regions),Federal Holiday
2013,Oct-31,Halloween,Event
2013,Nov-11,Veterans Day,Federal Holiday
2013,Nov-28,Thanksgiving Day,Federal Holiday
2013,Dec-24,Christmas Eve,Event
2013,Dec-25,Christmas Day,Federal Holiday
2013,Dec-31,New Year's Eve,Event
2014,Jan-01,New Year's Day,Federal Holiday
2014,Jan-20,Martin Luther King Jr. Day,Federal Holiday
2014,Feb-14,Valentine's Day,Event
2014,Feb-17,Presidents' Day,Federal Holiday
2014,Apr-13,Thomas Jefferson's Birthday,Event
2014,Apr-20,Easter Sunday,Event
2014,May-11,Mother's Day,Event
2014,May-26,Memorial Day,Federal Holiday
2014,Jun-15,Father's Day,Event
2014,Jul-04,Independence Day,Federal Holiday
2014,Sep-01,Labor Day,Federal Holiday
2014,Oct-13,Columbus Day (Most regions),Federal Holiday
2014,Oct-31,Halloween,Event
2014,Nov-11,Veterans Day,Federal Holiday
2014,Nov-27,Thanksgiving Day,Federal Holiday
2014,Dec-24,Christmas Eve,Event
2014,Dec-25,Christmas Day,Federal Holiday
2014,Dec-31,New Year's Eve,Event
2015,Jan-01,New Year's Day,Federal Holiday
2015,Jan-19,Martin Luther King Jr. Day,Federal Holiday
2015,Feb-14,Valentine's Day,Event
2015,Feb-16,Presidents' Day,Federal Holiday
2015,Apr-05,Easter Sunday,Event
2015,Apr-13,Thomas Jefferson's Birthday,Event
2015,May-10,Mother's Day,Event
2015,May-25,Memorial Day,Federal Holiday
2015,Jun-21,Father's Day,Event
2015,Jul-03,'Independence Day' observed,Federal Holiday
2015,Jul-04,Independence Day,Federal Holiday
2015,Sep-07,Labor Day,Federal Holiday
2015,Oct-12,Columbus Day (Most regions),Federal Holiday
2015,Oct-31,Halloween,Event
2015,Nov-11,Veterans Day,Federal Holiday
2015,Nov-26,Thanksgiving Day,Federal Holiday
2015,Dec-24,Christmas Eve,Event
2015,Dec-25,Christmas Day,Federal Holiday
2015,Dec-26,Day After Christmas Day,Event
2015,Dec-31,New Year's Eve,Event
2016,Jan-01,New Year's Day,Federal Holiday
2016,Jan-18,Martin Luther King Jr. Day,Federal Holiday
2016,Feb-14,Valentine's Day,Event
2016,Feb-15,Presidents' Day,Federal Holiday
2016,Mar-27,Easter Sunday,Event
2016,Apr-13,Thomas Jefferson's Birthday,Event
2016,May-08,Mother's Day,Event
2016,May-30,Memorial Day,Federal Holiday
2016,Jun-19,Father's Day,Event
2016,Jul-04,Independence Day,Federal Holiday
2016,Sep-05,Labor Day,Federal Holiday
2016,Oct-10,Columbus Day (Most regions),Federal Holiday
2016,Oct-31,Halloween,Event
2016,Nov-08,Election Day,Event
2016,Nov-11,Veterans Day,Federal Holiday
2016,Nov-24,Thanksgiving Day,Federal Holiday
2016,Dec-24,Christmas Eve,Event
2016,Dec-25,Christmas Day,Federal Holiday
2016,Dec-26,'Christmas Day' observed,Federal Holiday
2016,Dec-31,New Year's Eve,Event
